,hex8,avg_centrality,lat,lng,walk,transit,bike
33,882a100123fffff,0.016057994196709745,40.866356903473715,-73.88517329935628,92,100.0,58
34,882a100125fffff,0.005851301428764437,40.87660081069531,-73.89842794985789,87,100.0,60
35,882a100127fffff,0.022052156740283074,40.86872172367687,-73.89598809488999,96,100.0,69
36,882a100129fffff,0.016231890376796537,40.879749911641944,-73.879232378547,94,100.0,77
37,882a10012bfffff,0.01642120185854378,40.87187016953822,-73.87679562169613,92,100.0,75
38,882a10012dfffff,0.009695419648952847,40.882115732819045,-73.89004991160257,83,100.0,72
39,882a100131fffff,0.029790139034012925,40.85611289344292,-73.87192457746747,78,94.0,79
40,882a100133fffff,0.04295277107363692,40.848235359927294,-73.8694902892732,87,96.0,79
41,882a100135fffff,0.03490576652077334,40.85847859263735,-73.88273622876811,89,97.0,56
42,882a100137fffff,0.024002211455526293,40.850601018009236,-73.88029998132522,47,91.0,50
43,882a100139fffff,0.015595100428072307,40.86162450380445,-73.86354726181402,91,88.0,70
44,882a10013bfffff,0.009327724036037887,40.85374627519049,-73.86111411081755,93,89.0,71
45,882a10013dfffff,0.02403155821783888,40.863991163392534,-73.87435968813907,25,98.0,35
46,882a100141fffff,0.00860157793874918,40.89392057299802,-73.84326577639457,70,76.0,62
47,882a100143fffff,0.007410538067320784,40.88603878797191,-73.84083439783454,81,75.0,67
48,882a100145fffff,0.005820135331243913,40.89629019890718,-73.85408444936499,88,90.0,54
49,882a100147fffff,0.006149499834770028,40.88840837232645,-73.85165110851239,80,82.0,74
50,882a100149fffff,0.006337919950177267,40.899432505978886,-73.83487852992124,73,53.0,50
51,882a10014bfffff,0.006578851956890493,40.891550026822884,-73.83244829182978,80,73.0,55
52,882a10014dfffff,0.004741801112772053,40.901803093932344,-73.84569797720526,83,85.0,52
53,882a100151fffff,0.016811170569072137,40.875787277150664,-73.82759027998175,60,80.0,60
54,882a100153fffff,0.002177492254486116,40.86790700711055,-73.82516250540982,79,75.0,75
55,882a100155fffff,0.016453467393659243,40.878157739092316,-73.83840384111704,78,83.0,56
56,882a100157fffff,0.013957097476261626,40.870277426597305,-73.83597410583417,74,83.0,47
57,882a100159fffff,0.021274217447326254,40.881296860185216,-73.81920454154128,52,69.0,48
58,882a10015bfffff,0.0004945414982134688,40.87341589621375,-73.81677790734041,15,63.0,52
59,882a10015dfffff,0.01354661259070838,40.88366828380076,-73.83001887531921,82,79.0,55
60,882a100161fffff,0.010083385549961299,40.893144780097494,-73.87328809205367,33,84.0,36
61,882a100163fffff,0.01111240121936732,40.88526360722487,-73.87085164973907,31,99.0,39
62,882a100165fffff,0.00808240812397407,40.89551160277023,-73.88410836376504,8,71.0,21
63,882a100167fffff,0.010727801980586062,40.88763038946542,-73.88166995910034,70,85.0,64
64,882a100169fffff,0.004781549557494759,40.89865890417818,-73.86490431016529,88,84.0,57
65,882a10016bfffff,0.006288695739171082,40.8907770364923,-73.86246900677736,88,91.0,57
66,882a10016dfffff,0.002308756233507444,40.901026688439,-73.87572535821924,58,59.0,47
67,882a100181fffff,0.0014379331605663362,40.819873362154425,-73.84058827048476,49,60.0,62
68,882a100185fffff,0.02277247215353907,40.82224072970387,-73.8513897208518,81,75.0,66
69,882a100187fffff,0.0002549442190669371,40.81436618676075,-73.84896067482975,55,62.0,70
70,882a100189fffff,0.0017355066730206298,40.82538027281617,-73.83221395786708,68,63.0,54
